gen,specEquation,range,seed,topAEquation,topPEquation,correlation,covariance,AMean,PMean,AStd,PStd,AVar,PVar,ASkew,PSkew,AExKur,PExKur,topAMean,topPMean,topABest,topPBest,topAMeanDelta,topPMeanDelta,topABestDelta,topPBestDelta,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
199,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((x)+(6))+((x)*(9)))*((x)+((x)*((6)*(x))))),(x),0.11004174729728584,0.0000003340832393299457,-0.9365303645917256,-0.00004359015858379134,0.18687504546464911,0.003640859424696676,0.00006304093856376302,0.00000014620820664742269,1.6099573740386535,0.3255021661474602,2.7204834910724895,-0.741899822951968,-0.9088627926608169,0.0008015221222514462,0.5335152973957246,0.008255384467473688,1031.2002186226882,639.6903242610167,21958.374960871355,634.9177549537858,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,AddTreeWithMult,ReplaceBranchR,0,0,6,3,2
200,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((9)+(5))*((x)+((x)*(6))))*(((7)/(5))/((9)+((x)*(x))))),((((0)+((0)-(7)))+((9)*((x)*(9))))+(((4)+(3))+((0)+((0)*((3)-(x)))))),0.29764392027504616,0.00019126109548976342,-0.9361077682406498,-0.24998266839546684,0.2848414832233214,0.3534934913260624,0.0001327944511459741,0.0031094194986522857,1.6370007857230546,0.19270406222705538,2.256620081475385,-0.7817071741256516,-0.8991602336291116,-0.14545619199588683,0.7913453041464171,0.5514940606563927,NaN,NaN,49091.85470948198,287.1347921950402,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,AddTreeWithMult,AddXD,0,0,4,3,2
201,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((4)*((x)*(x))),(0),NaN,0,-0.9394638517917133,0,0.0028641597294211114,0,0.0000003461902922819434,0,-0.09970999614957217,NaN,-0.56068820417619,NaN,-0.9382196988667842,0,-0.9304376595712341,0,632.8308232829921,640.2028758309526,712.5441662724418,640.2028758309526,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,AddTreeWithMult,AddXD,0,0,2,4,2
202,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((8)*(6))/((6)-(0))),(((x)*((x)*(x)))-((x)-(x))),0.054791355003287044,0.000004610779378065737,-0.9472134891627892,-0.0665827574631137,0.01524220101981208,0.049310450120629824,0.000007024380285438211,0.0010081301127946019,0.1536789735184435,-0.28791300609441284,-0.6285180950599489,-0.2543545150632891,-0.9414329595788553,-0.00711185404602877,-0.9373996397085084,0.5839530682026624,599.9166033043917,645.1386140010428,641.2308909866676,266.3544422172998,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,ReplaceBranchXR,ReplaceBranchR,0,0,3,4,2
203,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((x)*(x)),(0),NaN,0,-0.9385373339277249,0,0.0009209015293627452,0,0.00000003409833041616263,0,-0.3735331520469258,NaN,2.172216102297329,NaN,-0.938045588808452,0,-0.9361150957943566,0,634.6142754438774,640.2028758309526,654.3887903142052,640.2028758309526,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,AddXD,0,0,4,5,2
204,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((0)/(0)),((((3)+(8))*((x)-(9)))*((x)+((x)/(x)))),NaN,0,-1,-0.00882711607500692,0,0.0031616349203608743,0,0.0001542992150099931,NaN,-1.2996182572091792,NaN,1.2360067838622917,-1,0.00129276785495527,-1,0.09147681768503932,NaN,639.3764678065781,0,581.6391540771267,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,DeleteTerminalR,0,0,2,1,2
205,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((5)*(3))*((x)*(x)))+(((x)*(9))+((5)*(4))))*(((x)/((6)/(x)))+(((0)*(6))+((x)+((8)-(x)))))),(((8)*(x))*((5)+(x))),-0.0985498732489063,-0.00006288760814072718,-0.9531335174628608,-0.18721057148967962,0.2656697099343771,0.29078241323022685,0.00015834780093841637,0.0025716151624392215,1.7994213061146214,-0.5902594019347964,3.553832903132656,-0.12633763022541178,-0.9048756635942576,-0.0973096946567461,0.7194894145956363,0.32184180125650774,1497.374185500772,NaN,51071.361778115745,434.15882910392247,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,AddXD,0,0,3,4,2
206,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(0),((x)/(1)),NaN,0,-0.9374999999999999,-0.08956085956980696,0,0.1754422513501409,0,0.001554474034243984,NaN,-0.6093904124704945,NaN,0.11599211307164836,-0.9374999999999999,-0.030893758171285014,-0.9374999999999999,0.008255384467473688,640.2028758309526,1643.9349817935722,640.2028758309526,634.9177549537858,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,ReplaceBranchXR,0,0,4,1,2
207,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((x)-((3)*(x)))*((x)+((7)*(x)))),((((9)*(6))-((7)-((9)*(7))))*(((x)/(5))-((0)*((1)+(x))))),-0.07547648095039869,-0.000013221046505586992,-0.9323647521378846,-0.13470573169160377,0.06442196336135718,0.2279630094742811,0.000013745957972426332,0.0022322013557741706,0.46252713270739815,-0.29624796957015515,-0.5890791784293872,-0.41018185174405675,-0.9239344718305251,-0.03471368297521432,-0.5696104551958532,0.5491618616875286,779.1579181711704,2138.4961652301645,4408.585988979031,288.627872681917,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,AddTreeWithMult,0,0,1,2,2
208,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((9)*((8)*(8))),((9)-((x)*(x))),-0.0370278327379243,-0.00000003817841864207862,-0.9374810228211854,-0.00035774961838979085,0.00461268218251995,0.028641699040131818,0.00000011281738838793615,0.000009423304896147324,-0.034274514666968035,0.15797825621982808,0.6126446036079534,0.0768149090654795,-0.9366259290594467,0.00761626420110359,-0.9109586734431829,0.09158860942404413,649.1561995081122,635.4597071036811,912.072213271637,581.5675846843217,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,ReplaceBranchXR,AddXD,0,0,9,1,2
209,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((x)*(x)),(((x)*((x)+(x)))*((x)+(x))),0.24545036888720786,0.000023531639983924714,-0.9445329814968535,-0.19833282299430383,0.010902167476330887,0.29286027307007223,0.000004500015808391974,0.002042504269737578,-0.2757724047686117,0.23204573936290893,0.23666785303555837,-0.04920248237255187,-0.940100075820752,-0.09544335936650694,-0.9361150957943566,0.5838174275528574,NaN,NaN,654.3887903142052,266.4412797513845,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,AddTreeWithMult,DeleteTerminalR,0,0,2,2,2
210,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((7)*((6)-(x))),((((x)*(1))*((x)/(3)))/((x)*((5)+(x)))),-0.09378009756541192,-0.0000004214268337549263,-0.9370214937305932,-0.42676020589635855,0.0002614442714897874,0.45787997672577946,0.00000000662898048837576,0.0030463252434973554,-0.39170045978637025,0.1833756461680026,-0.3945301894476616,-0.3397628367429393,-0.9368823869710332,-0.28024695059906046,-0.9363522036451631,0.888908390613038,646.5292380276751,9678.322596106436,651.9600362667093,7.889866919029752,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,AddTreeWithMult,AddTreeWithMult,0,0,2,1,2
211,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((x)/((5)-(4)))*((x)+((x)-(x)))),((0)+(x)),NaN,0,-0.9416743997887275,0.008255384467473688,0.003374567691481606,0,0.000003999725029247217,0,-0.1389144905458159,NaN,-0.5782477714265384,NaN,-0.9380049720382626,0.008255384467473688,-0.9361150957943566,0.008255384467473688,635.0303230131926,634.9177549537858,654.3887903142052,634.9177549537858,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,ReplaceBranchXR,0,0,1,2,2
212,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)-(2))*((x)+(4)))*(((3)*(x))+((4)-((6)-(8)))))+(((4)*((7)*(x)))*(((x)*(8))+((3)+((x)+(x)))))),(((x)*((8)/(4)))/((x)*((x)+(x)))),0.0020763903536614083,0.000008757782249283616,-0.7050506819809395,-0.19593773231303485,0.710910478912321,0.3498845473833811,0.005755976561357201,0.0030906602292746356,0.15837726139238734,-0.006146606048506241,-0.3900551230230662,-0.36874611410781943,-0.5189967007556682,-0.07428653170916216,0.9988415723228615,0.7113330284749171,NaN,NaN,8842369.891055604,134.20570860519393,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,AddXD,0,0,1,1,2
213,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((6)+((9)+(0)))/((7)/(1))),((((x)*((7)+(5)))*((3)/((8)/(6))))-(((1)/(x))*((x)+((0)-(6))))),-0.013968422905744586,-0.0000023822982773326756,-0.9536595421762359,-0.22898697095538628,0.021893410876092635,0.35751352932563496,0.000009412082624493236,0.0030903793417098955,0.09342145854462898,0.06122116582934279,-0.05955623052187642,-0.7257752669591282,-0.9463026495932263,-0.12699908262367143,-0.9373039749891824,0.750268459009866,NaN,NaN,642.2108082415167,106.50951460498212,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,DeleteTerminalR,0,0,3,6,2
214,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((x)/(5))/((x)-(x))),(((7)+(x))*((8)*(7))),0.029854815067013714,0.000004305990376813492,-0.9450955097829086,-0.5481413968798144,0.013424619302901843,0.49558003063696193,0.000005808329466200853,0.003581509407618727,-0.08755008390365648,0.059520226095848804,0.08565706232059345,-0.553075600977762,-0.9399398350325473,-0.4258045532905464,-0.9369808960049326,0.4231144604191824,NaN,NaN,645.5201857589135,369.3237814649303,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,AddTreeWithMult,AddTreeWithMult,0,0,1,2,2
215,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((x)*((9)/(x))),((((x)*(x))*((9)*((2)+(0))))-(((0)*(0))-((0)-((x)/(x))))),-0.08492368843191574,-0.00000004914150226876197,-0.937495992815726,-0.10726052067006467,0.00004866779283818372,0.12546634541560878,0.00000000019021792772791733,0.001760304158668299,-0.8414653213112168,-0.48193857921565775,0.14002654604540066,0.9064851624407617,-0.9374727638138485,-0.014117542028676815,-0.937386481899341,0.13172276036372918,640.4818627861658,1141.0911125193663,641.3656696629639,546.5036647228961,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,AddTreeWithMult,AddXD,0,0,4,2,2
216,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((0)+((8)/(1))),((x)*((x)*(x))),0.06878162000758413,0.000001442976268309189,-0.9453170582540829,0.0075189589157377435,0.007812641628473038,0.0921043251085624,0.000008170267290739314,0.00005386880127524931,-0.23418022299268829,0.2554541445847407,1.068116335366088,-0.46559066747456157,-0.9384786144581028,0.024727280797104605,-0.9373996397085084,0.6005462915314183,630.1786871844379,624.395785545134,641.2308909866676,255.73141292292496,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,AddXD,0,0,2,4,2
217,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((0)+((9)*(9))),((5)*((x)*(5))),-0.06870574769920627,-0.00000028668606019420124,-0.9375429046176986,-0.17819347197723068,0.00040184495650140905,0.27136796524906714,0.000000007975845228037947,0.0021829827019501755,-0.4277192657834479,-0.12140908156160791,-0.1838451544975337,-0.5953260285842714,-0.9373663431021746,-0.07607733354652943,-0.9360490382938909,0.20126617063086275,641.5719563167534,3148.7924610020837,655.065433542499,511.3516945855911,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,ReplaceBranchR,0,0,1,3,2
218,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((8)*(9))*((2)*(5)))+(((3)+(4))*((0)/(2))))+(((1)*((x)*(3)))*(((x)*(x))+((0)+((x)+(x)))))),((((x)*(x))*((x)-(1)))/((4)-((0)+((3)+(x))))),0.040980646601367916,0.000010435959918779288,-0.948869032467744,-0.11536023228031181,0.24208058118682774,0.25840356797936254,0.00004836930849043216,0.0013407176085653918,2.5538918304728737,-0.3866704646356012,8.54721439888432,-0.22215627750916722,-0.9154623786423814,-0.03962836408196171,0.9839089554201127,0.6089639403285138,10494.984696457312,2202.6512756222087,636580.5502831428,250.3424099552895,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,AddTreeWithMult,AddTreeWithMult,0,0,2,1,2
219,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(9),((((9)+(x))*((x)*((x)+(6))))/((2)+((5)+((x)+(x))))),0.18494763664237132,0.0000001481767803694542,-0.9374967377779664,-0.07218359142926624,0.00003355592564607742,0.14473713505328364,0.0000000005141355974923295,0.0012484899813159263,-0.10738936156567935,0.13281484324301482,-0.2686467361569087,-0.16788121778763632,-0.9374440152675436,0.006326660814464501,-0.9373864210134779,0.6382852182734355,640.7763412184925,1129.6963834087123,641.3662933318386,231.5708434919119,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,AddTreeWithMult,0,0,3,3,2
220,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((x)*((7)*(x)))+(((2)*(x))*((4)*(6))))-(((3)*(0))+((0)-((6)-((8)*(x)))))),((0)+(x)),NaN,0,-0.9420183448252115,0.008255384467473688,0.2428925546644877,0,0.00006889911832529449,0,2.2781930977529568,NaN,5.1096344009713555,NaN,-0.9087411770815097,0.008255384467473688,0.9810647124124886,0.008255384467473688,9070.226337774593,634.9177549537858,540960.6780966513,634.9177549537858,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,ReplaceBranchXR,0,0,7,4,2
221,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((8)*(7))*((x)/((3)/(x))))-(((x)/(6))*((6)*((8)-(x))))),(((6)*((8)*(x)))-((x)+(x))),-0.19048650717990093,-0.000045599381810489605,-0.9502362240690826,-0.1490823716282365,0.17065133306757768,0.21411021907522268,0.000026744888619131366,0.002142637390366793,1.8228705867657533,-0.14941802756421976,4.999184655217558,0.2280857558424385,-0.9286101362533498,-0.04382204608733569,0.4009578228989085,0.37139109667856074,NaN,NaN,18473.23099125193,402.43722767932667,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,ReplaceBranchXR,AddXD,0,0,2,3,2
222,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((x)*(x)),(((x)+(x))*((x)*(x))),0.13971329035841742,0.0000016445680608614144,-0.9388961420920809,0.0013265630907363965,0.0010717799868481717,0.10182851554967551,0.0000004867175490164985,0.00028467626309293924,-1.054995572773635,-0.5599885786842502,-0.1910615431913274,0.6899203660480575,-0.9381701230531186,0.03505973706362336,-0.9361150957943566,0.7986383143367062,633.3386405386772,617.3496834580917,654.3887903142052,128.91233024380907,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,AddTreeWithMult,ReplaceBranchR,0,0,3,5,2
