generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,bottomAntagonist,bottomProtagonist,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistAge,topProtagonistAge,topAntagonistEquation,topProtagonistEquation,spec,runNumber
18,0.9917293417285644,0.9961180180795366,0.9999999999999903,0.9999999999999453,0.9999999999999903,0.9999999999999453,StrategySkipD,StrategyReplaceBranchR,18,18,((((((((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x)),((6)+(9)),5*x*x*x,1
19,0.9883067581389955,0.994755018070405,0.9999999999999903,0.9999999999998689,0.9999999999999903,0.9999999999998689,StrategySkipD,StrategySubXD,19,19,((((((((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x)),((((5)-(3))/(x))/(x)),5*x*x*x,1
20,0.9884854964286407,0.9946735292304543,0.9999999999999903,0.999999999999966,0.9999999999999903,0.999999999999966,StrategySkipD,StrategyReplaceBranchR,20,20,((((((((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x)),(((1)*(0))/(x)),5*x*x*x,1
21,0.9941633990038451,0.9971717902800651,0.9999999999999903,0.9999999999999918,0.9999999999999903,0.9999999999999918,StrategySkipD,StrategyReplaceBranchR,21,21,((((((((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x)),((9)+(2)),5*x*x*x,1
22,0.9994059497551881,0.9996024836135462,0.9999999999999903,0.999999999999999,0.9999999999999903,0.999999999999999,StrategySkipD,StrategyDivXD,22,22,((((((((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x)),(((2)*(2))/(x)),5*x*x*x,1
23,0.9999999999999851,0.9993999999906419,0.9999999999999903,0.9999999999999999,0.9999999999999903,0.9999999999999999,StrategySkipD,StrategyReplaceBranchXR,23,23,((((((((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x)),((((((((5)*((x)+((x)-(3))))*((x)+(5)))*(((x)*(x))*((x)*((1)+(2)))))/(x))/(x))/(x))/(x)),5*x*x*x,1
24,0.9978274999995519,0.9986000024373359,0.9999999999999903,0.9999999999999993,0.9999999999999903,0.9999999999999993,StrategySkipD,StrategyDivXD,24,24,((((((((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x)),((((2)-(8))/(x))/(x)),5*x*x*x,1
25,0.9976299955671172,0.9987000818636548,0.9999999999999903,0.9999999999999999,0.9999999999999903,0.9999999999999999,StrategySkipD,StrategyReplaceBranchR,25,25,((((((((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x)),((((((((5)*((x)*(6)))*(((x)*(x))+((x)-(1))))*(((x)*(x))*((x)-(4))))/(x))/(x))/(x))/(x)),5*x*x*x,1
26,0.9960499999998809,0.997300007349655,0.9999999999999903,0.999999999999999,0.9999999999999903,0.999999999999999,StrategySkipD,StrategyDivXD,26,26,((((((((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x)),(((((5)-(7))/(x))/(x))/(x)),5*x*x*x,1
27,0.9999999999999851,0.9997999999995913,0.9999999999999903,0.9999999999999997,0.9999999999999903,0.9999999999999997,StrategySkipD,StrategyDivXD,27,27,((((((((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x)),(((4)*(2))/(x)),5*x*x*x,1
28,0.9974776071741956,0.9988872869851717,0.9999999999999903,0.9999999999999996,0.9999999999999903,0.9999999999999996,StrategySkipD,StrategyDivXD,28,28,((((((((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x)),((((((5)*(3))/(x))/(x))/(x))/(x)),5*x*x*x,1
29,0.9930875000332671,0.9958004259876888,0.9999999999999903,0.9999999999999997,0.9999999999999903,0.9999999999999997,StrategySkipD,StrategyDivXD,29,29,((((((((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x)),(((1)-(6))/(x)),5*x*x*x,1
30,0.9976299999990972,0.9981000030349994,0.9999999999999903,0.9999999999999925,0.9999999999999903,0.9999999999999925,StrategySkipD,StrategyReplaceBranchXR,30,30,((((((((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x)),(((((((((5)*((8)-(1)))-(((x)-(6))*((x)+(5))))*(((x)*(x))*((x)*((x)*((x)*(x))))))/(x))/(x))/(x))/(x))/(x)),5*x*x*x,1
31,0.9994074999996524,0.9997000017132567,0.9999999999999903,0.9999999999999993,0.9999999999999903,0.9999999999999993,StrategyAddXD,StrategyReplaceBranchR,31,31,(((((((((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x))+(x))*(x))*(x))*(x))*(x)),(((((((((5)-((x)*(x)))*((x)*(8)))*(((9)+(x))*((x)-(6))))/(x))/(x))/(x))/(x))/(x)),5*x*x*x,1
